sample_idx,target_class,formula,n_picks,depth,precision_train,n_tp,n_fp
53,left,"( ( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( F[213,238]( (x_3 => 422.1056) ∨ (x_9 => 242.2701) ) ) ) ∧ ( F[124,127]( (x_6 <= 121.6636) ∧ ( (x_2 => 26.0997) ∧ (x_8 => -557.2532) ) ) ) ) ∧ ( G[48,49](x_4 => -44.5582) ) )",4,5,1.0,7,0
54,forward,"( ( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( F[71,142](x_7 => 364.1725) ) ) ∧ ( F[146,184](x_6 <= -291.346) ) )",3,4,1.0,9,0
55,left,"( ( ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) ∧ ( G[369,inf]( (x_3 => -195.1516) ∨ (x_1 <= -484.3964) ) ) ) ∧ ( F[242,278](x_3 => 269.3078) ) )",3,5,0.857143,6,1
56,left,"( ( ( G[105,107]( (x_3 <= -3.3842) ∨ (x_7 => 190.5418) ) ) ∧ ( F[27,155]( ( (x_8 <= 301.359) ∧ (x_9 => 339.0155) ) ∧ (x_2 => -173.899) ) ) ) ∧ ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) )",3,5,0.8,8,2
57,right,"( ( ( (x_3 <= -900.4987) ∨ ( F[273,306](x_6 => 323.6696) ) ) ∧ ( G( (x_3 <= 544.8098) ∧ (x_9 <= 392.7708) ) ) ) ∧ ( G[47,61](x_7 <= 164.462) ) )",3,4,0.777778,7,2
58,left,"( ( ( ( G[307,352]( ( (x_5 <= 86.4902) ∨ (x_9 <= 170.5034) ) ∧ (x_8 <= 219.8433) ) ) ∧ ( F[23,92]( (x_1 => 44.927) ∧ (x_5 <= -135.332) ) ) ) ∧ ( G[254,inf]( (x_5 <= 46.9695) ∨ ( G[2,3](x_6 => -250.5961) ) ) ) ) ∧ ( F[27,155]( ( (x_8 <= 301.359) ∧ (x_9 => 339.0155) ) ∧ (x_2 => -173.899) ) ) )",4,6,0.857143,6,1
59,backward,"( ( ( F[203,268](x_2 => 302.2879) ) ∧ ( G[146,184](x_6 => -234.408) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) )",3,4,0.8,8,2
60,backward,"( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( F[203,268](x_2 => 302.2879) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) )",3,4,0.875,7,1
61,backward,"( ( ( G[226,235](x_9 <= 113.3517) ) ∧ ( F[259,368]( (x_5 => 334.5584) ∨ ( (x_6 <= -523.4247) ∧ (x_3 <= -278.3755) ) ) ) ) ∧ ( ( F[220,236](x_2 => 184.3551) ) ∨ (x_8 => 236.4686) ) )",3,5,0.833333,5,1
62,backward,"( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( F[34,91]( (x_3 <= -289.9872) ∧ (x_1 <= -235.8711) ) ) ) ∧ ( F[307,352]( ( (x_5 => 125.0725) ∧ (x_9 => 209.0857) ) ∨ (x_8 => 258.4256) ) ) )",3,4,0.8,12,3
63,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( ( F[220,236](x_2 => 184.3551) ) ∨ (x_8 => 236.4686) ) ) ∧ ( F[294,332](x_8 => 241.2421) ) ) ∧ ( ( G[163,254]( (x_6 => -279.9943) ∧ (x_0 => -881.8002) ) ) ∧ ( F[23,52](x_0 => -250.6256) ) ) )",4,5,0.857143,6,1
64,backward,"( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( G[362,inf]( (x_6 => 605.201) ∨ ( (x_0 => -230.3224) ∧ (x_6 <= 622.753) ) ) ) ) ∧ ( G[146,184](x_6 => -234.408) ) )",3,5,0.785714,11,3
65,backward,"( ( ( G[226,235](x_9 <= 113.3517) ) ∧ ( G[135,191](x_6 => -265.779) ) ) ∧ ( G[271,289]( (x_3 <= 187.6235) ∨ (x_4 => 1211.362) ) ) )",3,3,0.769231,10,3
66,forward,"( ( F[339,366](x_9 => 190.2406) ) ∧ ( G[58,217](x_4 <= 351.919) ) )",2,2,0.772727,17,5
67,right,"( ( ( ( ( G[244,262](x_1 => -174.6241) ) ∨ (x_0 <= -368.9697) ) ∨ ( ( (x_1 <= -427.7002) ∧ (x_4 <= 252.9524) ) ∧ (x_1 => 796.1882) ) ) ∧ ( G[13,inf]( (x_8 => -195.7026) ∨ (x_1 => -379.3688) ) ) ) ∧ ( G( (x_2 <= 408.5827) ∧ (x_1 => -584.1992) ) ) )",3,5,1.0,11,0
68,backward,"( ( ( (x_3 => -809.348) ∧ ( G[273,306](x_6 <= 232.519) ) ) ∧ ( G[222,229](x_5 <= 101.7866) ) ) ∧ ( ( G[163,254]( (x_6 => -279.9943) ∧ (x_0 => -881.8002) ) ) ∧ ( F[23,52](x_0 => -250.6256) ) ) )",3,4,0.8,8,2
69,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( ( G[279,326](x_3 <= 232.9098) ) ∧ ( G[356,384](x_1 <= 454.7444) ) ) ) ∧ ( F[173,inf]( (x_6 <= -477.0546) ∨ (x_0 => 467.49) ) ) ) ∧ ( G[135,191](x_6 => -265.779) ) )",4,5,0.857143,6,1
70,forward,"( ( F[251,307]( (x_6 <= -320.4331) ∧ (x_9 <= 218.4565) ) ) ∧ ( G[275,325](x_3 => -227.814) ) )",2,3,0.75,12,4
71,backward,"( ( ( ( F[280,371]( G[5,21](x_4 <= -21.3153) ) ) ∧ ( F[203,268](x_2 => 302.2879) ) ) ∧ ( G[135,191](x_6 => -265.779) ) ) ∧ ( G( F[46,54](x_9 => -155.0934) ) ) )",4,5,1.0,5,0
72,backward,"( ( ( G[135,191](x_6 => -265.779) ) ∧ ( ( F[220,236](x_2 => 184.3551) ) ∨ (x_8 => 236.4686) ) ) ∧ ( G[356,379]( (x_0 => -26.9268) ∨ ( (x_2 <= -426.2994) ∨ (x_1 <= -6.9186) ) ) ) )",3,4,0.769231,10,3
73,forward,"( ( ( F[339,366](x_9 => 190.2406) ) ∧ ( ( ( F[244,262](x_1 <= -256.7054) ) ∧ (x_0 => -286.8883) ) ∧ ( ( (x_1 => -345.6189) ∨ (x_4 => 335.0338) ) ∨ (x_1 <= 714.107) ) ) ) ∧ ( F[71,142](x_7 => 364.1725) ) )",3,5,0.769231,10,3
